game_index,gameTime,label,position,team,visibility
0,1 - 00:00,Kick-off,0,away,visible
0,1 - 02:13,Ball out of play,133295,not applicable,visible
0,1 - 02:29,Throw-in,149168,away,visible
0,1 - 02:36,Ball out of play,156098,not applicable,visible
0,1 - 03:02,Corner,182775,away,visible
0,1 - 04:06,Ball out of play,246619,not applicable,visible
0,1 - 04:18,Throw-in,258040,home,not shown
0,1 - 04:30,Shots on target,270441,home,visible
0,1 - 04:31,Ball out of play,271751,not applicable,visible
0,1 - 04:52,Corner,292492,home,visible
0,1 - 05:19,Offside,319710,away,visible
0,1 - 05:47,Shots on target,347458,away,visible
0,1 - 06:35,Offside,395728,away,visible
0,1 - 07:01,Ball out of play,421674,not applicable,visible
0,1 - 07:20,Throw-in,440457,away,visible
0,1 - 07:35,Ball out of play,455852,not applicable,visible
0,1 - 07:42,Throw-in,462173,away,not shown
0,1 - 07:47,Shots off target,467037,away,visible
0,1 - 08:59,Ball out of play,539710,not applicable,visible
0,1 - 09:22,Clearance,562959,home,visible
0,1 - 09:28,Ball out of play,568044,not applicable,visible
0,1 - 09:45,Throw-in,585057,away,not shown
0,1 - 09:47,Ball out of play,587120,not applicable,visible
0,1 - 10:02,Throw-in,602832,away,visible
0,1 - 10:07,Ball out of play,607544,not applicable,visible
0,1 - 10:24,Throw-in,624408,away,visible
0,1 - 11:00,Ball out of play,660739,not applicable,visible
0,1 - 11:07,Corner,667482,home,not shown
0,1 - 11:28,Ball out of play,688158,not applicable,visible
0,1 - 11:53,Clearance,713155,away,visible
0,1 - 12:29,Ball out of play,749239,not applicable,visible
0,1 - 13:10,Goal,790722,home,visible
0,1 - 14:03,Kick-off,843305,away,not shown
0,1 - 14:26,Shots on target,866879,home,visible
0,1 - 14:29,Ball out of play,869284,not applicable,visible
0,1 - 14:40,Corner,880053,home,visible
0,1 - 14:56,Ball out of play,896429,not applicable,visible
0,1 - 15:03,Throw-in,903270,home,visible
0,1 - 15:49,Ball out of play,949523,not applicable,visible
0,1 - 16:11,Corner,971069,home,visible
0,1 - 16:48,Ball out of play,1008781,not applicable,visible
0,1 - 17:11,Corner,1031163,away,visible
0,1 - 17:13,Shots off target,1033041,away,visible
0,1 - 17:37,Clearance,1057833,home,not shown
0,1 - 18:16,Ball out of play,1096929,not applicable,visible
0,1 - 18:46,Clearance,1126152,away,visible
0,1 - 19:51,Ball out of play,1191542,not applicable,visible
0,1 - 20:16,Clearance,1216532,away,visible
0,1 - 20:32,Ball out of play,1232837,not applicable,visible
0,1 - 20:35,Throw-in,1235030,home,visible
0,1 - 20:57,Ball out of play,1257163,not applicable,visible
0,1 - 21:12,Throw-in,1272726,away,visible
0,1 - 22:03,Shots on target,1323355,away,visible
0,1 - 22:25,Foul,1345712,home,visible
0,1 - 24:00,Shots off target,1440175,home,visible
0,1 - 24:25,Throw-in,1465655,away,visible
0,1 - 25:16,Ball out of play,1516077,not applicable,visible
0,1 - 25:44,Clearance,1544141,home,not shown
0,1 - 25:48,Ball out of play,1548558,not applicable,visible
0,1 - 26:05,Throw-in,1565801,away,visible
0,1 - 27:12,Foul,1632019,home,visible
0,1 - 28:50,Foul,1730826,home,visible
0,1 - 29:48,Foul,1788430,away,visible
0,1 - 30:26,Ball out of play,1826971,not applicable,visible
0,1 - 30:30,Throw-in,1830017,home,visible
0,1 - 30:36,Ball out of play,1836524,not applicable,visible
0,1 - 30:56,Throw-in,1856843,away,visible
0,1 - 31:04,Ball out of play,1864664,not applicable,visible
0,1 - 31:17,Throw-in,1877652,home,visible
0,1 - 31:56,Foul,1916058,away,visible
0,1 - 32:41,Foul,1961649,home,visible
0,1 - 33:11,Ball out of play,1991776,not applicable,visible
0,1 - 33:41,Corner,2021651,away,visible
0,1 - 33:50,Ball out of play,2030824,not applicable,visible
0,1 - 33:58,Throw-in,2038287,away,visible
0,1 - 34:14,Ball out of play,2054894,not applicable,visible
0,1 - 34:36,Throw-in,2076398,away,visible
0,1 - 34:38,Ball out of play,2078978,not applicable,visible
0,1 - 35:01,Clearance,2101488,home,visible
0,1 - 35:57,Ball out of play,2157710,not applicable,visible
0,1 - 36:27,Clearance,2187618,away,visible
